station_id,date,wind_direction_deg,vector_avg_wind_speed_ms,avg_wind_speed_ms
225,2017-01-01,212.0,8.1,9.5
225,2017-01-02,346.0,7.8,8.5
225,2017-01-03,277.0,11.3,11.4
225,2017-01-04,331.0,12.6,13.1
225,2017-01-05,59.0,3.9,5.4
225,2017-01-06,167.0,5.0,5.2
225,2017-01-07,222.0,5.0,7.9
225,2017-01-08,312.0,1.8,3.1
225,2017-01-09,192.0,7.4,7.8
225,2017-01-10,241.0,4.8,5.8
225,2017-01-11,262.0,12.7,14.8
225,2017-01-12,266.0,7.2,10.4
225,2017-01-13,315.0,12.0,13.8
225,2017-01-14,330.0,10.8,11.6
225,2017-01-15,349.0,3.0,4.2
225,2017-01-16,77.0,3.8,4.3
225,2017-01-17,137.0,2.3,2.5
225,2017-01-18,127.0,2.0,2.1
225,2017-01-19,97.0,2.1,2.3
225,2017-01-20,85.0,4.8,4.9
225,2017-01-21,89.0,5.0,5.1
225,2017-01-22,190.0,0.6,3.3
225,2017-01-23,207.0,2.8,3.5
225,2017-01-24,177.0,0.3,3.0
225,2017-01-25,142.0,2.7,3.0
225,2017-01-26,130.0,3.1,3.2
225,2017-01-27,139.0,4.7,4.9
225,2017-01-28,173.0,6.8,7.3
225,2017-01-29,191.0,7.4,7.8
225,2017-01-30,25.0,1.7,5.8
225,2017-01-31,96.0,2.8,4.0
225,2017-02-01,141.0,5.9,6.0
225,2017-02-02,152.0,6.4,6.4
225,2017-02-03,171.0,4.8,5.2
225,2017-02-04,156.0,2.0,4.9
225,2017-02-05,11.0,0.7,3.1
225,2017-02-06,88.0,2.0,2.5
225,2017-02-07,92.0,7.4,7.4
225,2017-02-08,71.0,9.4,9.4
225,2017-02-09,79.0,9.2,9.3
225,2017-02-10,81.0,7.2,7.3
225,2017-02-11,71.0,8.2,8.3
225,2017-02-12,84.0,10.7,10.8
225,2017-02-13,90.0,10.6,10.6
225,2017-02-14,107.0,5.0,5.4
225,2017-02-15,166.0,4.5,5.3
225,2017-02-16,223.0,7.8,8.0
225,2017-02-17,282.0,5.3,5.7
225,2017-02-18,204.0,4.3,4.5
225,2017-02-19,231.0,7.7,7.8
225,2017-02-20,232.0,9.1,9.7
225,2017-02-21,240.0,7.6,8.4
225,2017-02-22,239.0,10.7,11.0
